,Start,Finish,Distance,Total climb,Total descent
0,Nørre Snede,Givskud,21.7,0.216,0.238
1,Givskud,Bindeballe,31.4,0.247,0.31
2,Bindeballe,Vejen,30.2,0.186,0.179
3,Vejen,Jels,24.8,0.245,0.246
4,Jels,Vojens,21.8,0.141,0.139
5,Vojens,Rødekro,30.9,0.252,0.251
6,Rødekro,Kliplev,18.6,0.088,0.091
7,Kliplev,German Border,19.8,0.136,0.155
