,Start,Finish,Distance,Total climb,Total descent
0,Grenå,Rugard,18.1,0.121,0.121
1,Rugard,Krakær,18.5,0.233,0.217
2,Krakær,Rønde,15.0,0.244,0.225
3,Rønde,Århus,29.4,0.327,0.356
4,Århus,Skanderborg,29.8,0.416,0.399
5,Skanderborg,Ry,23.8,0.264,0.259
6,Ry,Virklund,15.3,0.345,0.314
7,Virklund,Nørre Snede,28.4,0.36,0.305
