,Start,Finish,Distance,Total climb,Total descent
0,Rapperswil,Einsiedeln,15.6,0.727,0.231
1,Einsiedeln,Brunnen,24.6,0.687,1.15
2,Brunnen,Flüelen,15.2,0.913,0.915
3,Flüelen,Amsteg,18.0,0.297,0.217
4,Amsteg,Andermatt,21.0,1.431,0.514
5,Andermatt,Airolo,19.9,0.889,1.176
