,Start,Finish,Distance,Total climb,Total descent
0,Konstanz,Märstetten,13.0,0.278,0.218
1,Märstetten,Fischingen,27.8,0.624,0.461
2,Fischingen,Rapperswil,32.8,1.225,1.442
