,Start,Finish,Distance,Total climb,Total descent
0,Müden,Celle,45.1,0.272,0.289
1,Celle,Wennebostel,29.4,0.119,0.107
2,Wennebostel,Steinhude,36.3,0.161,0.175
3,Steinhude,Bad Nenndorf,26.3,0.242,0.189
4,Bad Nenndorf,Bad Münder,30.2,0.913,0.878
5,Bad Münder,Hameln,19.4,0.631,0.681
