,Start,Finish,Distance,Total climb,Total descent
0,Nassau,Schönborn,29.3,1.354,1.116
1,Schönborn,Idstein,33.4,1.002,1.032
2,Idstein,Frankfurt (Hohemark),32.8,1.125,1.119
3,Frankfurt (Hohemark),Frankfurt (Sachsenhausen),26.5,0.442,0.644
