,Start,Finish,Distance,Total climb,Total descent
0,Witzhave,Billstedt,27.8,0.399,0.418
1,Billstedt,Blankenese,24.7,0.368,0.38
2,Blankenese,Buchholz i.d.N.,36.3,0.39,0.325
