,Start,Finish,Distance,Total climb,Total descent
0,Frankfurt (Sachsenhausen),Darmstadt (Oberwaldhaus),32.3,0.355,0.295
1,Darmstadt (Oberwaldhaus),Lautertal-Reichenbach,28.7,0.689,0.658
2,Lautertal-Reichenbach,Birkenau,23.1,0.715,0.761
3,Birkenau,Ziegelhausen,26.2,1.013,1.046
4,Ziegelhausen,Mühlhausen,27.3,0.856,0.836
5,Mühlhausen,Gochsheim,25.5,0.493,0.466
6,Gochsheim,Bretten,11.9,0.252,0.239
7,Bretten,Pforzheim,23.4,0.549,0.445
