,Start,Finish,Distance,Total climb,Total descent
0,Hameln,Linderhofe,33.7,0.966,0.711
1,Linderhofe,Detmold,35.3,1.004,1.192
2,Detmold,Altenbeken,30.7,1.777,1.537
3,Altenbeken,Willebadessen,21.7,0.46,0.414
4,Willebadessen,Marsberg,32.9,0.662,0.837
