,Start,Finish,Distance,Total climb,Total descent
0,Herdorf,Fuchskaute,21.9,0.706,0.296
1,Fuchskaute,Bad Marienberg,15.2,0.318,0.469
2,Bad Marienberg,Freilingen,24.6,0.54,0.616
3,Freilingen,Montabaur,25.3,0.503,0.696
4,Montabaur,Nassau,27.0,0.752,0.89
