,Start,Finish,Distance,Total climb,Total descent
0,Buchholz i.d.N.,Undeloh,26.3,0.221,0.204
1,Undeloh,Bispingen,19.3,0.18,0.187
2,Bispingen,Soltau,20.3,0.162,0.194
3,Soltau,Müden,31.3,0.266,0.265
