,Start,Finish,Distance,Total climb,Total descent
0,Marsberg,Schweinsbühl,28.7,0.899,0.642
1,Schweinsbühl,Niedersfeld,26.0,0.887,0.877
2,Niedersfeld,Oberkirchen,26.6,1.135,1.221
3,Oberkirchen,Bad Berleburg,17.2,0.574,0.585
4,Bad Berleburg,Bad Laasphe,21.9,0.641,0.707
5,Bad Laasphe,Lahnhof,17.7,0.688,0.439
6,Lahnhof,Siegen,22.5,0.536,0.906
7,Siegen,Herdorf,29.0,1.146,1.154
