,Start,Finish,Distance,Total climb,Total descent
0,Corvaro,Santa Maria in Valle Porclaneta,12.1,0.505,0.319
1,Santa Maria in Valle Porclaneta,Alba Fucens,11.6,0.379,0.456
2,Alba Fucens,Case Incile,23.0,1.526,0.874
3,Case Incile,Castellafiume,18.7,0.629,0.459
