,Start,Finish,Distance,Total climb,Total descent
0,Forca Canapine,Accumoli,11.1,0.175,0.855
1,Accumoli,Amatrice,12.9,0.682,0.618
2,Amatrice,Cittareale,19.6,0.99,0.936
3,Cittareale,Posta,16.2,0.402,0.639
4,Posta,Micigliano,13.7,0.915,0.769
5,Micigliano,Cittaducale,20.3,0.772,1.191
6,Cittaducale,Pendenza,11.2,0.47,0.2
7,Pendenza,Petrella Salto,14.7,0.733,0.718
8,Petrella Salto,Sant'Elpidio,18.2,0.906,0.874
9,Sant'Elpidio,Corvaro,13.2,0.555,0.52
