,Start,Finish,Distance,Total climb,Total descent
0,Sannazzaro De' Burgondi,Tortona,31.8,0.188,0.152
1,Tortona,San Vito,19.3,0.82,0.356
2,San Vito,Arquata Scrivia,24.2,1.428,1.171
3,Arquata Scrivia,Castagnola,19.1,1.078,0.74
