,Start,Finish,Distance,Total climb,Total descent
0,Porto Ceresio,Brinzio,20.3,1.256,1.023
1,Brinzio,Gavirate,19.5,1.035,1.282
2,Gavirate,Sesto Calende,22.6,0.607,0.644
3,Sesto Calende,Turbigo,29.8,0.496,0.591
4,Turbigo,Casterno,25.7,0.46,0.488
5,Casterno,Besate,23.7,0.305,0.324
6,Besate,Gropello Cairoli,25.6,0.324,0.331
7,Gropello Cairoli,Sannazzaro De' Burgondi,12.2,0.127,0.126
