,Start,Finish,Distance,Total climb,Total descent
0,Castagnola,Crocetta d'Orero,20.0,0.844,0.969
1,Crocetta d'Orero,Passo della Scoffera,20.3,1.47,1.264
2,Passo della Scoffera,Barbagelata,13.9,1.047,0.61
3,Barbagelata,Passo della Forcella,18.7,1.303,1.536
4,Passo della Forcella,Passo Della Spingarda,13.8,1.124,0.452
5,Passo Della Spingarda,Passo Del Bocco,12.4,0.547,1.147
6,Passo Del Bocco,Passo di Cento Croci,23.5,1.482,1.384
7,Passo di Cento Croci,Passo dei Due Santi,18.4,1.174,0.68
