,Start,Finish,Distance,Total climb,Total descent
0,Blåvättnerna,Stensjön,11.4,0.35,0.409
1,Stensjön,Äskhult,14.9,0.538,0.457
2,Äskhult,Stättared,15.2,0.504,0.541
3,Stättared,Dranstugan,17.0,0.566,0.529
4,Dranstugan,Gällarpesjön,20.6,0.663,0.614
5,Gällarpesjön,Åkulla,17.0,0.551,0.566
6,Åkulla,Ästad,13.4,0.41,0.43
7,Ästad,Skattagård,22.9,0.46,0.473
8,Skattagård,Frodeparken,26.6,0.554,0.45
9,Frodeparken,Ryet,21.3,0.563,0.681
10,Ryet,Gyltige,15.0,0.374,0.35
11,Gyltige,Halmstad,25.8,0.263,0.333
