,Start,Finish,Distance,Total climb,Total descent
0,Teveltunet,Storerikvollen,39.2,1.171,0.858
1,Storerikvollen,Nedalshytta,23.2,0.835,0.839
2,Nedalshytta,Stugudal,17.0,0.346,0.514
3,Stugudal,Kjølihytta,15.9,0.752,0.312
4,Kjølihytta,Glåmos,39.4,0.759,1.16
5,Glåmos,Røros,20.8,0.548,0.538
6,Røros,Marenvollen,16.8,0.652,0.471
7,Marenvollen,Ljøsnåvollen,24.9,0.683,0.76
8,Ljøsnåvollen,Røvollen,22.1,0.425,0.46
9,Røvollen,Svukuriset,16.8,0.506,0.41
10,Svukuriset,Grövelsjön,22.1,0.64,0.696
